X,Y,bAddress,Address,Title
-123.142216,49.28408,Beach Towers Apartments,Beach Towers Apartments,Two Steel and Copper Fountains
-123.135029,49.27699,Vancouver Aquatic Centre,Vancouver Aquatic Centre,The Swimmer
-123.113126,49.27739,,,Fulcrum of Vision
-123.031001,49.258316,Grandview Highway Canadian Tire,Grandview Highway Canadian Tire,turn
-123.117575,49.286083,Bentall Bldg.,Bentall Bldg.,Charles Bentall
-123.119119,49.240719,Holy Name Parish,Holy Name Parish,Stations of the Cross
-123.139358,49.292928,Lost Lagoon Terraces,Lost Lagoon Terraces,Untitled (relief)
-123.143036,49.291012,White House Apartments,White House Apartments,Untitled (mural)
-123.136649,49.290483,West End Community Centre,West End Community Centre,WECCstoration Project
-123.130832,49.275678,Pomaria,Pomaria,Weathervane
-123.13842,49.24725,St. John's Shaughnessy Church,St. John's Shaughnessy Church,Three Incidents in the Life of St. John
-123.092675,49.273621,National  Works Yard,National  Works Yard,Roller
-123.087683,49.215366,Moberly Arts Centre,Moberly Arts Centre,Welcoming Walkway
-123.082415,49.211591,Ross Street Temple,Ross Street Temple,Project Tendril
-123.120407,49.279305,Metropolitan Towers,Metropolitan Towers,Haida Eagle and Frog Totem Pole
-123.164822,49.249535,Trafalgar Elementary School,Trafalgar Elementary School,Trafalgar Tile Wall
-123.097363,49.277893,Outdoor Site: 221 A Gallery - Union St. & Gore St.,Outdoor Site: 221 A Gallery - Union St. & Gore St.,Semi-Public: Vancouver Especially (A Vancouver Special scaled to its property value in 1973, then…
-123.145985,49.262865,College of Physicians & Surgeons of B.C.,College of Physicians & Surgeons of B.C.,Asclepius
-123.113918,49.261185,Vancouver City Hall,Vancouver City Hall,Captain George Vancouver
-123.113718,49.260687,Vancouver City Hall,Vancouver City Hall,Gerald Grattan McGeer
-123.114522,49.261439,Vancouver City Hall,Vancouver City Hall,Lovers II
-123.111389,49.263263,Clydemont Centre,Clydemont Centre,Untitled (Clydemont Centre)
-123.111406,49.28525,Waterfront Station,Waterfront Station,Angel of Victory
-123.121201,49.284867,Royal Bank,Royal Bank,Ksan Mural
-123.115823,49.281273,,,Royal Sweet Diamond
-123.116352,49.237256,Ridgeway Greenway,Ridgeway Greenway,Machina Metronoma (South Cambie neighbourhood)
-123.128093,49.217006,Marpole-Oakridge Community Centre (Oak Park),Marpole-Oakridge Community Centre (Oak Park),Garland
-123.120415,49.282932,Vancouver Art Gallery,Vancouver Art Gallery,Four Boats Stranded:  Red and Yellow, Black and White
-123.124115,49.29068,The Escala,The Escala,Weave
